Fraction,Profit,Realm,Week Num
alliance,21795881.938546557,wyrmrest-accord,32.0
alliance,21654836.98177708,wyrmrest-accord,33.0
alliance,18137331.575244732,wyrmrest-accord,34.0
alliance,15216515.448290534,wyrmrest-accord,35.0
alliance,18730505.787603416,wyrmrest-accord,36.0
alliance,20728092.211111896,wyrmrest-accord,37.0
alliance,18441115.387468312,wyrmrest-accord,38.0
alliance,19412903.318735678,wyrmrest-accord,39.0
alliance,18312178.50674024,wyrmrest-accord,40.0
alliance,18056849.666565247,wyrmrest-accord,41.0
alliance,10466122.59470002,lightbringer,11.0
alliance,12839181.391018339,lightbringer,12.0
alliance,12092949.46476334,lightbringer,13.0
alliance,12044313.349946685,lightbringer,14.0
alliance,10983338.183797844,lightbringer,15.0
alliance,11405500.19341121,lightbringer,16.0
alliance,11491325.171651179,lightbringer,17.0
alliance,12880606.60334267,lightbringer,18.0
alliance,9936730.272600012,lightbringer,19.0
alliance,12112284.280828284,lightbringer,20.0
alliance,9867165.563115979,lightbringer,21.0
alliance,12676503.202266732,lightbringer,22.0
alliance,14276485.259548606,lightbringer,23.0
alliance,12335799.076183861,lightbringer,24.0
alliance,13944853.441769753,lightbringer,25.0
alliance,14412568.055331195,lightbringer,26.0
alliance,15530033.87562121,lightbringer,27.0
alliance,16958894.130735185,lightbringer,28.0
alliance,19099291.847674727,lightbringer,29.0
alliance,16586251.328469058,lightbringer,30.0
alliance,14512810.980959788,lightbringer,31.0
alliance,12246701.193742184,lightbringer,32.0
alliance,12131337.94100832,lightbringer,33.0
alliance,12121759.664869495,lightbringer,34.0
alliance,13675637.518430742,lightbringer,35.0
alliance,12630322.504720213,lightbringer,36.0
alliance,12656616.74380239,lightbringer,37.0
alliance,13333804.008160507,lightbringer,38.0
alliance,15655325.645876696,lightbringer,39.0
alliance,15666282.159265468,lightbringer,40.0
alliance,15047432.45086241,lightbringer,41.0
horde,19770879.30688335,tichondrius,11.0
horde,22812697.144629914,tichondrius,12.0
horde,23733925.24805498,tichondrius,13.0
horde,21248301.514963426,tichondrius,14.0
horde,21376662.642952867,tichondrius,15.0
horde,23071524.342173427,tichondrius,16.0
horde,25641465.102212515,tichondrius,17.0
horde,26716580.205515873,tichondrius,18.0
horde,27435389.356311094,tichondrius,19.0
horde,29001496.421343084,tichondrius,20.0
horde,27532618.628959984,tichondrius,21.0
horde,52515059.79502984,tichondrius,22.0
horde,29337679.196584,tichondrius,23.0
horde,32238246.794739522,tichondrius,24.0
horde,28713554.35818354,tichondrius,25.0
horde,27513196.171960987,tichondrius,26.0
horde,52275564.81952122,tichondrius,27.0
horde,29501570.241614126,tichondrius,28.0
horde,28523709.76203785,tichondrius,29.0
horde,27892283.516877808,tichondrius,30.0
horde,28528195.07989807,tichondrius,31.0
horde,26127920.986093294,tichondrius,32.0
horde,32625543.486313157,tichondrius,33.0
horde,30323057.241319768,tichondrius,34.0
horde,28500407.784283113,tichondrius,35.0
horde,28615180.85112166,tichondrius,36.0
horde,26211662.688081782,tichondrius,37.0
horde,29718411.487551052,tichondrius,38.0
horde,29552123.038519643,tichondrius,39.0
horde,41021103.8865692,tichondrius,40.0
horde,31407529.738282215,tichondrius,41.0
horde,35092889.8553665,illidan,11.0
horde,32782066.016754538,illidan,12.0
horde,31906582.03857869,illidan,13.0
horde,30522610.41442156,illidan,14.0
horde,31202498.994511966,illidan,15.0
horde,32843725.58949995,illidan,16.0
horde,31935355.044181794,illidan,17.0
horde,30345524.311471555,illidan,18.0
horde,30610137.53491663,illidan,19.0
horde,29835078.861763217,illidan,20.0
horde,29040802.48255447,illidan,21.0
horde,28808245.487524863,illidan,22.0
horde,30717461.65629321,illidan,23.0
horde,32563484.067511637,illidan,24.0
horde,34160664.167617515,illidan,25.0
horde,32085281.663454324,illidan,26.0
horde,32771421.198491372,illidan,27.0
horde,37821498.66781111,illidan,28.0
horde,35645728.39183342,illidan,29.0
horde,36242210.63183494,illidan,30.0
horde,34735190.555042,illidan,31.0
horde,31443542.60623801,illidan,32.0
horde,34020523.193768404,illidan,33.0
horde,34616751.30692969,illidan,34.0
horde,31992922.47763619,illidan,35.0
horde,32268561.725069456,illidan,36.0
horde,32184695.560204245,illidan,37.0
horde,35895894.86177333,illidan,38.0
horde,36559145.83481535,illidan,39.0
horde,35428263.76557588,illidan,40.0
horde,35715032.73872976,illidan,41.0
horde,22213153.442941703,area-52,11.0
horde,21977285.20167211,area-52,12.0
horde,21643171.493147664,area-52,13.0
horde,23169658.18914997,area-52,14.0
horde,19535018.35205739,area-52,15.0
horde,19695131.089401394,area-52,16.0
horde,21219865.701190434,area-52,17.0
horde,21379972.751813564,area-52,18.0
horde,20884572.693816658,area-52,19.0
horde,20579487.78797161,area-52,20.0
horde,21551576.039496597,area-52,21.0
horde,23012560.51139673,area-52,22.0
horde,21867844.849960264,area-52,23.0
horde,21542078.080625895,area-52,24.0
horde,20483034.00669693,area-52,25.0
horde,20652330.439969506,area-52,26.0
horde,22652530.5834545,area-52,27.0
horde,23442829.395218078,area-52,28.0
horde,22280317.566141825,area-52,29.0
horde,21328334.95484988,area-52,30.0
horde,22508764.00045833,area-52,31.0
horde,22336697.887929227,area-52,32.0
horde,22273021.085498005,area-52,33.0
horde,26836487.68125437,area-52,34.0
horde,24390711.768955927,area-52,35.0
horde,21827941.583116405,area-52,36.0
horde,21125563.15853759,area-52,37.0
horde,22041780.55055233,area-52,38.0
horde,22530426.576156624,area-52,39.0
horde,23055455.824908327,area-52,40.0
horde,26880459.292837802,area-52,41.0
horde,604756.0387666668,stormrage,11.0
